token	normalised
miserebuntur	miserebuntur
.	.
et	et
timebunt	timebunt
gentes	gentes
nomen	nomen
tuum	tuum
domine	domine
et	et
omnes	omnes
reges	reges
terre	terre
gloriam	gloriam
tuam	tuam
.	.
quia	quia
edificavit	edificavit
dominus	dominus
sion	sion
et	et
videbitur	videbitur

in	in
gloria	gloria
sua	sua
respexit	respexit
in	in
orationem	orationem
humilium	humilium
et	et
non	non
sprevit	sprevit
precem	precem
eorum	eorum
.	.
scribantur	scribantur
hec	hec
in	in
generatione	generatione
altera	altera
et	et
populus	populus
qui	qui
creabitur	creabitur
laudabit	laudabit
dominum	dominum
quia	quia

prospexit	prospexit
de	de
excelso	excelso
sancto	sancto
suo	suo
dominus	dominus
de	de
celo	celo
in	in
terram	terram
aspexit	aspexit
.	.
ut	ut
audiret	audiret
gemitus	gemitus
compeditorum	compeditorum
ut	ut
solveret	solveret
filios	filios
interemptorum	interemptorum
ut	ut
annuntient	annuntient
in	in
sion	sion
nomen	nomen

domini	domini
et	et
laudem	laudem
ejus	ejus
in	in
iherusalem	iherusalem
.	.
in	in
conveniendo	conveniendo
populos	populos
in	in
unum	unum
et	et
reges	reges
ut	ut
serviant	serviant
domino	domino
respondit	respondit
ei	ei
in	in
via	via
virtutis	virtutis
sue	sue
paucitatem	paucitatem
dierum	dierum

meorum	meorum
nuntia	nuntia
michi	michi
ne	ne
revoces	revoces
me	me
in	in
dimidio	dimidio
dierum	dierum
meorum	meorum
in	in
generationem	generationem
et	et
generationem	generationem
anni	anni
tui	tui
.	.
initio	initio
tu	tu
domine	domine
terram	terram
fundasti	fundasti
et	et
opera	opera
manuum	manuum

tuarum	tuarum
sunt	sunt
celi	celi
.	.
ipsi	ipsi
peribunt	peribunt
tu	tu
autem	autem
permanes	permanes
et	et
omnes	omnes
sicut	sicut
vestimentum	vestimentum
veterascent	veterascent
et	et
sicut	sicut
opertorium	opertorium
mutabis	mutabis
eos	eos
et	et
mutabuntur	mutabuntur
tu	tu
autem	autem
idem	idem
ipse	ipse

es	es
et	et
anni	anni
tui	tui
non	non
deficient	deficient
.	.
filii	filii
servorum	servorum
tuorum	tuorum
habitabunt	habitabunt
et	et
semen	semen
eorum	eorum
in	in
seculum	seculum
dirigetur	dirigetur
.	.
domine	domine
exaudi	exaudi
orationem	orationem
meam	meam
et	et
clamor	clamor
meus	meus

ad	ad
te	te
veniat	veniat
.	.
non	non
avertas	avertas
faciem	faciem
tuam	tuam
a	a
me	me
in	in
quacumque	quacumque
die	die
tribulor	tribulor
inclina	inclina
ad	ad
me	me
aurem	aurem
tuam	tuam
.	.
in	in
quacumque	quacumque
die	die
invocavero	invocavero
te	te

velociter	velociter
exaudi	exaudi
me	me
.	.
quia	quia
defecerunt	defecerunt
sicut	sicut
fumus	fumus
dies	dies
mei	mei
et	et
ossa	ossa
mea	mea
sicut	sicut
cremium	cremium
aruerunt	aruerunt
percussus	percussus
sum	sum
ut	ut
fenum	fenum
et	et
aruit	aruit
cor	cor
meum	meum
quia	quia

oblitus	oblitus
sum	sum
comedere	comedere
panem	panem
meum	meum
.	.
a	a
voce	voce
gemitus	gemitus
mei	mei
adhaesit	adhaesit
os	os
meum	meum
carni	carni
mee	mee
.	.
similis	similis
factus	factus
sum	sum
pellicano	pellicano
solitudinis	solitudinis
factus	factus
sum	sum
sicut	sicut
nicticorax	nicticorax

in	in
domicilio	domicilio
.	.
vigilavi	vigilavi
et	et
factus	factus
sum	sum
sicut	sicut
passer	passer
solitarius	solitarius
in	in
tecto	tecto
.	.
tota	tota
die	die
exprobrabant	exprobrabant
mihi	mihi
inimici	inimici
mei	mei
et	et
qui	qui
laudabant	laudabant
me	me
adversum	adversum
me	me

.	.
dies	dies
mei	mei
sicut	sicut
umbra	umbra
declinaverunt	declinaverunt
et	et
ego	ego
sicut	sicut
fenum	fenum
arui	arui
.	.
tu	tu
autem	autem
domine	domine
in	in
eternum	eternum
permanes	permanes
et	et
memoriale	memoriale
tuum	tuum
in	in
generationem	generationem
et	et
generationem	generationem

.	.
tu	tu
exsurgens	exsurgens
domine	domine
misereberis	misereberis
syon	syon
quia	quia
tempus	tempus
miserendi	miserendi
ejus	ejus
quia	quia
venit	venit
tempus	tempus
.	.
quoniam	quoniam
placuerunt	placuerunt
servis	servis
tuis	tuis
lapides	lapides
ejus	ejus
et	et
terre	terre
ejus	ejus
miserebuntur	miserebuntur
.	.

et	et
timebunt	timebunt
gentes	gentes
nomen	nomen
tuum	tuum
domine	domine
et	et
omnes	omnes
reges	reges
terre	terre
gloriam	gloriam
tuam	tuam
quia	quia
edificavit	edificavit
dominus	dominus
sion	sion
:	:
et	et
videbitur	videbitur
in	in
gloria	gloria
sua	sua
respexit	respexit
in	in
orationem	orationem

humilium	humilium
:	:
et	et
non	non
sprevit	sprevit
precem	precem
eorum	eorum
scribantur	scribantur
hec	hec
in	in
generatione	generatione
altera	altera
et	et
populus	populus
qui	qui
creabitur	creabitur
laudabit	laudabit
dominum	dominum
quia	quia
prospexit	prospexit
de	de
excelso	excelso
sancto	sancto
suo	suo
dominus	dominus

de	de
celo	celo
in	in
terram	terram
aspexit	aspexit
.	.
ut	ut
audiret	audiret
gemitus	gemitus
compeditorum	compeditorum
ut	ut
solveret	solveret
filios	filios
interemptorum	interemptorum
.	.
ut	ut
annuntient	annuntient
in	in
sion	sion
nomen	nomen
domini	domini
et	et
laudem	laudem
ejus	ejus
in	in

jerusalem	jerusalem
.	.
in	in
conveniendo	conveniendo
populos	populos
in	in
unum	unum
et	et
reges	reges
:	:
ut	ut
serviant	serviant
domino	domino
.	.
respondit	respondit
ei	ei
in	in
via	via
virtutis	virtutis
sue	sue
paucitatem	paucitatem
dierum	dierum
meorum	meorum
nuntia	nuntia
michi	michi

ne	ne
revoces	revoces
me	me
in	in
dimidio	dimidio
dierum	dierum
meorum	meorum
in	in
generationem	generationem
et	et
generationem	generationem
anni	anni
tui	tui
.	.
initio	initio
tu	tu
domine	domine
terram	terram
fundasti	fundasti
et	et
opera	opera
manuum	manuum
tuarum	tuarum
sunt	sunt
celi	celi

.	.
ipsi	ipsi
peribunt	peribunt
tu	tu
autem	autem
permanes	permanes
et	et
omnes	omnes
sicut	sicut
vestimentum	vestimentum
veterascent	veterascent
.	.
et	et
sicut	sicut
opertorium	opertorium
mutabis	mutabis
eos	eos
et	et
mutabuntur	mutabuntur
tu	tu
autem	autem
idem	idem
ipse	ipse
es	es
et	et

avertas	avertas
faciem	faciem
tuam	tuam
a	a
me	me
in	in
quacũq	quacumque
die	die
tribulor	tribulor
inclina	inclina
a	a
me	me
aurem	aurem
tuam	tuam
in	in
quacumq	quacumque
die	die
invocavero	invocavero
te	te
velociter	velociter
exaudi	exaudi
me	me
quia	quia
defecerunt	defecerunt
sicut	sicut

fumus	fumus
dies	dies
mei	mei
et	et
ossa	ossa
mea	mea
sicut	sicut
cremium	cremium
aruerunt	aruerunt
percussus	percussus
sum	sum
ut	ut
fenũ	fenum
et	et
aruit	aruit
cor	cor
meum	meum
quia	quia
oblitus	oblitus
sum	sum
comedere	comedere
panem	panem
meum	meum
a	a
voce	voce

gemitus	gemitus
mei	mei
adhesit	adhesit
os	os
meum	meum
carni	carni
mee	mee
similis	similis
factus	factus
sum	sum
pellicano	pellicano
solitudinis	solitudinis
factus	factus
sum	sum
sic̃	sicut
niticorax	niticorax
in	in
domicilio	domicilio
vigilavi	vigilavi
et	et
factus	factus
sum	sum
sicut	sicut
passer	passer
sollitarius	sollitarius

miscebam	miscebam
a	a
facie	facie
ire	ire
et	et
indignationis	indignationis
tue	tue
quia	quia
elevãs	elevans
allixisti	allixisti
me	me
dies	dies
mei	mei
sicut	sicut
umbra	umbra
declinaverunt	declinaverunt
et	et
ego	ego
sicut	sicut
fenũ	fenum
arui	arui
tu	tu
autem	autem
domine	domine
in	in

eternũ	eternum
permanes	permanes
et	et
memoriale	memoriale
tuum	tuum
in	in
generationem	generationem
et	et
generationem	generationem
tu	tu
exurgens	exurgens
domine	domine
misereberis	misereberis
syon	syon
quia	quia
tempus	tempus
miserendi	miserendi
ejus	ejus
quia	quia
venit	venit
tempus	tempus
qm̃	quoniam
placuerunt	placuerunt
servis	servis
tuis	tuis

lapides	lapides
ejus	ejus
et	et
terre	terre
ei᷒	eius
miserebuntur	miserebuntur
et	et
timebunt	timebunt
gentes	gentes
nomen	nomen
tuum	tuum
domine	domine
et	et
om̃s	omnes
reges	reges
terre	terre
gloriam	gloriam
tuam	tuam
quia	quia
edificavit	edificavit
dominus	dominus
ex	ex
syon	syon
et	et
videbitur	videbitur

in	in
gloria	gloria
sua	sua
respexit	respexit
in	in
orationem	orationem
humilium	humilium
et	et
non	non
sprevit	sprevit
precem	precem
eorum	eorum
scribant᷑	scribantur
hec	hec
in	in
generatione	generatione
altera	altera
et	et
populus	populus
qui	qui
creabitur	creabitur
laudabit	laudabit
dñm	dominum
quia	quia
prospexit	prospexit

de	de
excelso	excelso
sancto	sancto
suo	suo
dominus	dominus
de	de
celo	celo
in	in
terram	terram
aspexit	aspexit
ut	ut
audiret	audiret
gemitus	gemitus
compeditorum	compeditorum
ut	ut
solveret	solveret
filios	filios
interẽptorum	interemptorum
ut	ut
annuntient	annuntient
in	in
syon	syon
nomen	nomen
domini	domini
et	et

laudem	laudem
ejus	ejus
in	in
iherusalem	iherusalem
in	in
conveniendo	conveniendo
populos	populos
in	in
unum	unum
et	et
reges	reges
ut	ut
serviant	serviant
domino	domino
respondit	respondit
ei	ei
in	in
via	via
virtutis	virtutis
sue	sue
paucitatem	paucitatem
dierum	dierum
meorum	meorum
nuntia	nuntia
michi	michi

ne	ne
revoces	revoces
me	me
in	in
dimidio	dimidio
dierum	dierum
meorum	meorum
in	in
generatõe	generatione
et	et
generationẽ	generationem
anni	anni
tui	tui
initio	initio
tu	tu
domine	domine
terram	terram
fundasti	fundasti
et	et
opera	opera
manuum	manuum
tuarum	tuarum
sunt	sunt
celi	celi
ipsi	ipsi

nõ	non
deficient	deficient
filii	filii
servorum	servorum
tuorum	tuorum
habitabunt	habitabunt
et	et
semen	semen
eorum	eorum
in	in
seculum	seculum
dirigetur	dirigetur
Gloria	Gloria
.	.
ps̃	psalmus
.	.
Domine	Domine
exaudi	exaudi
orationẽ	orationem
meã	meam
:	:
et	et
clamor	clamor
meus	meus
ad	ad

te	te
veniat	veniat
.	.
Non	Non
avertas	avertas
faciẽ	faciem
tuam	tuam
a	a
me	me
in	in
quacũq	quacumque
die	die
tribulor	tribulor
inclina	inclina
ad	ad
me	me
aurem	aurem
tuam	tuam
.	.
In	In
quacũq	quacumque
die	die
invocavero	invocavero
te	te
velociter	velociter

exaudi	exaudi
me	me
.	.
Quia	Quia
defecerunt	defecerunt
sicut	sicut
fumus	fumus
dies	dies
mei	mei
et	et
ossa	ossa
mea	mea
sicut	sicut
cremiũ	cremium
aruerunt	aruerunt
.	.
percussus	percussus
sum	sum
ut	ut
fenũ	fenum
et	et
aruit	aruit
cor	cor
meũ	meum
:	:

quia	quia
oblitus	oblitus
sum	sum
comedere	comedere
panem	panem
meum	meum
.	.
a	a
voce	voce
gemitus	gemitus
mei	mei
adhesit	adhesit
os	os
meum	meum
carni	carni
mee	mee
similis	similis
factus	factus
sum	sum
pellicano	pellicano
solitudi	solitudi
nis	nis
factus	factus
sum	sum
sicut	sicut

nicticorax	nicticorax
in	in
domicilio	domicilio
.	.
vigilavi	vigilavi
⁊	et
factus	factus
sum	sum
sicut	sicut
passer	passer
solitarius	solitarius
in	in
tecto	tecto
.	.
tota	tota
die	die
exprobrabãt	exprobrabant
michi	michi
inimici	inimici
mei	mei
:	:
et	et
qui	qui
laudabant	laudabant
me	me

adversũ	adversum
me	me
jurabant	jurabant
.	.
quia	quia
cynerẽ	cynerem
tanꝙͣ	tanquam
panẽ	panem
mãducabam	manducabam
et	et
poculũ	poculum
meũ	meum
cum	cum
fletu	fletu
miscebam	miscebam
.	.
a	a
facie	facie
ire	ire
indignationis	indignationis
tue	tue
:	:
quia	quia
elevãs	elevans
allisisti	allisisti

me	me
.	.
dies	dies
mei	mei
sicut	sicut
umbra	umbra
declinaverunt	declinaverunt
⁊	et
ego	ego
sicut	sicut
fenum	fenum
arui	arui
.	.
tu	tu
autem	autem
dñe	domine
in	in
eternũ	eternum
permanes	permanes
et	et
mẽoriale	memoriale
tuum	tuum
in	in
generationem	generationem
et	et

generationem	generationem
.	.
tu	tu
exurgẽs	exurgens
dñe	domine
misereberis	misereberis
syon	syon
quia	quia
tempus	tempus
miserendi	miserendi
ejus	ejus
quia	quia
venit	venit
tempus	tempus
qm̃	quoniam
placuerunt	placuerunt
servis	servis
tuis	tuis
lapides	lapides
ejus	ejus
et	et
terre	terre
ejus	ejus
miserebuntur	miserebuntur
.	.

et	et
timebũt	timebunt
gentes	gentes
nomen	nomen
tuum	tuum
domine	domine
et	et
omnes	omnes
reges	reges
terre	terre
gloriam	gloriam
tuam	tuam
.	.
quia	quia
edificavit	edificavit
dominus	dominus
sion	sion
et	et
videbitur	videbitur
ĩ	in
gl̃a	gloria
sua	sua
.	.
respexit	respexit
in	in

orationem	orationem
humilium	humilium
et	et
non	non
svit	sprevit
precẽ	precem
eorum	eorum
.	.
scribantur	scribantur
hec	hec
ĩ	in
generatione	generatione
altera	altera
et	et
ppl̃us	populus
qui	qui
creabitur	creabitur
laudabit	laudabit
dominũ	dominum
quia	quia
prospexit	prospexit
de	de
excelso	excelso
sancto	sancto
suo	suo

nuntia	nuntia
michi	michi
.	.
ne	ne
revoces	revoces
me	me
in	in
dimidio	dimidio
dierũ	dierum
meorũ	meorum
in	in
generationem	generationem
⁊	et
generatiõem	generationem
anni	anni
tui	tui
.	.
initio	initio
tu	tu
domĩe	domine
terram	terram
fundasti	fundasti
:	:
et	et
oꝑa	opera

manuum	manuum
tuarũ	tuarum
sunt	sunt
celi	celi
.	.
ip̃i	ipsi
peribunt	peribunt
tu	tu
autẽ	autem
permanes	permanes
et	et
omnes	omnes
sicut	sicut
vestimẽtum	vestimentum
veterascent	veterascent
.	.
et	et
sicut	sicut
oportorium	oportorium
mutabis	mutabis
eos	eos
⁊	et
mu	mu
tabuntur	tabuntur
tu	tu

autem	autem
idem	idem
ip̃e	ipse
es	es
et	et
anni	anni
tui	tui
nõ	non
deficiẽt	deficient
.	.
filii	filii
servorũ	servorum
tuorũ	tuorum
habitabunt	habitabunt
⁊	et
semen	semen
eorũ	eorum
in	in
seculũ	seculum
dirigetur	dirigetur
.	.
domine	domine
exaudi	exaudi
orationẽ	orationem
meam	meam

et	et
clamor	clamor
meus	meus
ad	ad
te	te
veniat	veniat
.	.
non	non
avertas	avertas
faciẽ	faciem
tuã	tuam
a	a
me	me
in	in
quacũq	quacumque
die	die
tribulor	tribulor
inclina	inclina
ad	ad
me	me
aurem	aurem
tuam	tuam
.	.
in	in
quacũq	quacumque

die	die
invocavero	invocavero
te	te
velociter	velociter
exaudi	exaudi
me	me
.	.
quia	quia
defecerunt	defecerunt
sicut	sicut
fumus	fumus
dies	dies
mei	mei
et	et
ossa	ossa
mea	mea
sicut	sicut
cremium	cremium
aruerunt	aruerunt
.	.
percussus	percussus
sum	sum
ut	ut
fenum	fenum
et	et

aruit	aruit
cor	cor
meũ	meum
quia	quia
oblitus	oblitus
sũ	sum
comedere	comedere
panẽ	panem
meum	meum
.	.
a	a
voce	voce
gemitus	gemitus
mei	mei
adhesit	adhesit
os	os
meum	meum
carni	carni
mee	mee
.	.
similis	similis
factus	factus
sũ	sum
pellicano	pellicano
solitudinis	solitudinis

factus	factus
sum	sum
sicut	sicut
nicticorax	nicticorax
in	in
domicilio	domicilio
.	.
vigilavi	vigilavi
et	et
factus	factus
sũ	sum
sicut	sicut
passer	passer
solitarius	solitarius
in	in
tecto	tecto
.	.
tota	tota
die	die
exprobrabant	exprobrabant
michi	michi
inimici	inimici
mei	mei
et	et
qui	qui

laudabant	laudabant
me	me
adversũ	adversum
me	me
jurabant	jurabant
.	.
quia	quia
cynerem	cynerem
tanꝙͣ	tanquam
panẽ	panem
manducabam	manducabam
et	et
potum	potum
meũ	meum
cum	cum
fletu	fletu
miscebam	miscebam
.	.
a	a
facie	facie
ire	ire
indignationis	indignationis
tue	tue
quia	quia
elevans	elevans

miserebũtur	miserebuntur
.	.
et	et
timebũt	timebunt
gentes	gentes
nomẽ	nomen
tuũ	tuum
dñe	domine
et	et
ões	omnes
reges	reges
terre	terre
gloriã	gloriam
tuam	tuam
quia	quia
edificavit	edificavit
dñs	dominus
syon	syon
et	et
videbitur	videbitur
in	in
gloria	gloria
sua	sua
.	.
respexit	respexit

in	in
orationẽ	orationem
humilium	humilium
et	et
nõ	non
sprevit	sprevit
precẽ	precem
eorum	eorum
.	.
scribantur	scribantur
hec	hec
in	in
generatione	generatione
altera	altera
et	et
populus	populus
qui	qui
creabi	creabi
tur	tur
laudabit	laudabit
dominum	dominum
.	.
quia	quia
prospexit	prospexit
de	de

excelso	excelso
sc̃o	sancto
suo	suo
dñs	dominus
de	de
celo	celo
in	in
terrã	terram
aspexit	aspexit
.	.
ut	ut
audiret	audiret
gemitus	gemitus
compeditorum	compeditorum
ut	ut
solveret	solveret
filios	filios
interẽptorũ	interemptorum
ut	ut
annũtient	annuntient
in	in
syõ	syon
nomen	nomen
dñi	domini
et	et

laudẽ	laudem
ejus	ejus
in	in
ihrl̃m	ierusalem
.	.
in	in
cõveniendo	conveniendo
ppl̃os	populos
in	in
unũ	unum
et	et
reges	reges
ut	ut
serviant	serviant
domino	domino
.	.
respondit	respondit
ei	ei
in	in
via	via
virtutis	virtutis
sue	sue
paucitatẽ	paucitatem
dierum	dierum
meorum	meorum

nuntia	nuntia
michi	michi
.	.
ne	ne
revoces	revoces
me	me
in	in
dimidio	dimidio
dierum	dierum
meorũ	meorum
in	in
generationem	generationem
⁊	et
generationẽ	generationem
anni	anni
tui	tui
initio	initio
tu	tu
dñe	domine
terrã	terram
fundasti	fundasti
et	et
oꝑa	opera
manuũ	manuum
tuarũ	tuarum

sunt	sunt
celi	celi
.	.
ipsi	ipsi
peribunt	peribunt
tu	tu
autem	autem
permanes	permanes
et	et
om̃s	omnes
sicut	sicut
vestimentum	vestimentum
veterascent	veterascent
.	.
et	et
sicut	sicut
opertoriũ	opertorium
mutabis	mutabis
eos	eos
et	et
mutabuntur	mutabuntur
tu	tu
autẽ	autem
idem	idem
ipse	ipse

es	es
et	et
anni	anni
tui	tui
non	non
deficient	deficient
.	.
filii	filii
servoꝝ	servorum
tuoꝝ	tuorum
habitabunt	habitabunt
et	et
semen	semen
eorũ	eorum
in	in
seculũ	seculum
dirigetur	dirigetur
.	.
Gloria	Gloria
pr̃i	patri
Sicut	Sicut
erat	erat
.	.
ps̃	psalmus
.	.

domine	domine
exaudi	exaudi
orationẽ	orationem
meam	meam
et	et
clamor	clamor
m̃s	meus
ad	ad
te	te
vẽiat	veniat
non	non
avertas	avertas
faciẽ	faciem
tuam	tuam
a	a
me	me
in	in
quacumq	quacumque
die	die
tribulor	tribulor
inclina	inclina
ad	ad
me	me
aurẽ	aurem
tuã	tuam

.	.
in	in
qͣcũ	quacumque
die	die
invocavero	invocavero
te	te
velocit͛	velociter
exaudi	exaudi
me	me
.	.
quia	quia
defecerunt	defecerunt
sicut	sicut
fumus	fumus
dies	dies
mei	mei
et	et
ossa	ossa
mea	mea
sicut	sicut
cre	cre
miũ	mium
aruerunt	aruerunt
.	.
percussus	percussus

sum	sum
ut	ut
fenum	fenum
et	et
aruit	aruit
cor	cor
meum	meum
quia	quia
oblitus	oblitus
sum	sum
comed͛e	comedere
panẽ	panem
meum	meum
.	.
a	a
voce	voce
gemitus	gemitus
mei	mei
adhesit	adhesit
os	os
meum	meum
carni	carni
mee	mee
.	.
similis	similis

factus	factus
sum	sum
pellicano	pellicano
solitudinis	solitudinis
factus	factus
sum	sum
sicut	sicut
niticorax	niticorax
in	in
domicilio	domicilio
.	.
vigilavi	vigilavi
et	et
factus	factus
sum	sum
sicut	sicut
passer	passer
solitarius	solitarius
in	in
tecto	tecto
.	.
tota	tota
die	die
exprobrabant	exprobrabant
michi	michi

inimici	inimici
mei	mei
et	et
qui	qui
laudabant	laudabant
adversum	adversum
me	me
jurabant	jurabant
.	.
quia	quia
cinerẽ	cinerem
tanqͣm	tanquam
panem	panem
manducabam	manducabam
et	et
potum	potum
meũ	meum
cum	cum
fletu	fletu
miscebam	miscebam
.	.
a	a
facie	facie
ire	ire
et	et

indignationis	indignationis
tue	tue
qͥa	quia
elevans	elevans
allisisti	allisisti
me	me
.	.
dies	dies
mei	mei
sicut	sicut
um	um
bra	bra
declinaverunt	declinaverunt
et	et
ego	ego
sicut	sicut
fenũ	fenum
arui	arui
.	.
tu	tu
autem	autem
dñe	domine
in	in
eternũ	eternum
permanes	permanes

et	et
memoriale	memoriale
tuum	tuum
in	in
generationem	generationem
et	et
generationẽ	generationem
.	.
tu	tu
exurgens	exurgens
dñe	domine
misereberis	misereberis
syon	syon
quia	quia
tempus	tempus
miserendi	miserendi
ejus	ejus
quia	quia
venit	venit
tempus	tempus
.	.
qm̃	quoniam
placuerunt	placuerunt
servis	servis
tuis	tuis

lapides	lapides
ejus	ejus
et	et
terre	terre
ejus	ejus
mi	mi
serebuntur	serebuntur
.	.
et	et
timebunt	timebunt
gentes	gentes
nomẽ	nomen
tuum	tuum
dñe	domine
et	et
omnes	omnes
reges	reges
terre	terre
gloriam	gloriam
tuam	tuam
.	.
quia	quia
edificavit	edificavit
dominus	dominus
syon	syon

et	et
videbit᷑	videbitur
in	in
gl̃a	gloria
sua	sua
.	.
respexit	respexit
in	in
or̃onem	orationem
humilium	humilium
et	et
non	non
sprevit	sprevit
precẽ	precem
eoꝝ	eorum
.	.
scribantur	scribantur
hec	hec
in	in
generatione	generatione
altera	altera
et	et
populus	populus
qui	qui
creabit᷑	creabitur

.	.
laudabit	laudabit
dñm	dominum
.	.
quia	quia
prospexit	prospexit
de	de
excelso	excelso
sc̃o	sancto
suo	suo
dñs	dominus
de	de
celo	celo
in	in
terrã	terram
aspexit	aspexit
.	.
ut	ut
audiret	audiret
gemitus	gemitus
compeditoꝝ	compeditorum
ut	ut
solveret	solveret
filios	filios
interemptorum	interemptorum

.	.
ut	ut
annuntient	annuntient
in	in
syon	syon
nomẽ	nomen
dñi	domini
et	et
laudem	laudem
ejus	ejus
in	in
iherusalem	iherusalem
.	.
in	in
conveniẽ	convenien
do	do
populos	populos
in	in
unũ	unum
et	et
reges	reges
ut	ut
serviant	serviant
dño	domino
.	.

initio	initio
tu	tu
dñe	domine
terram	terram
fundasti	fundasti
et	et
opera	opera
manuũ	manuum
tuarũ	tuarum
sunt	sunt
celi	celi
.	.
ipsi	ipsi
peribunt	peribunt
tu	tu
autem	autem
permanes	permanes
et	et
omnes	omnes
sicut	sicut
vestimentũ	vestimentum
veterascent	veterascent
et	et
sicut	sicut
opertorium	opertorium

.	.
Gloria	Gloria
.	.
domine	domine
exaudi	exaudi
or̃onem	orationem
meam	meam
et	et
clamor	clamor
meus	meus
ad	ad
te	te
veniat	veniat
.	.
non	non
avertas	avertas
faciem	faciem
tuam	tuam
a	a
me	me
in	in
quacumque	quacumque
die	die
tribulor	tribulor
inclina	inclina

ad	ad
me	me
aurem	aurem
tuam	tuam
.	.
in	in
quacumque	quacumque
die	die
invocavero	invocavero
te	te
velociter	velociter
exaudi	exaudi
me	me
.	.
quia	quia
defecerunt	defecerunt
sicut	sicut
fumus	fumus
dies	dies
mei	mei
et	et
ossa	ossa
mea	mea
sicut	sicut
cremium	cremium

aruerunt	aruerunt
percussus	percussus
sum	sum
ut	ut
fenum	fenum
et	et
aruit	aruit
cor	cor
meum	meum
quia	quia
oblitus	oblitus
sum	sum
comedere	comedere
panem	panem
meum	meum
.	.
a	a
voce	voce
gemitus	gemitus
mei	mei
adhesit	adhesit
os	os
meum	meum
carni	carni
mei	mei

.	.
similis	similis
factus	factus
sum	sum
pellicano	pellicano
solitudinis	solitudinis
factus	factus
sum	sum
sicut	sicut
nicticorax	nicticorax
in	in
domicilio	domicilio
.	.
vigilavi	vigilavi
et	et
factus	factus
sum	sum
sicut	sicut
pas	pas
ser	ser
solitarius	solitarius
in	in
tecto	tecto
.	.
tota	tota

die	die
exprobrabant	exprobrabant
mihi	mihi
inimici	inimici
mei	mei
et	et
qui	qui
laudabant	laudabant
me	me
adversũ	adversum
me	me
jurabant	jurabant
.	.
quia	quia
cynerem	cynerem
tamquam	tamquam
panem	panem
manducabã	manducabam
⁊	et
potũ	potum
meũ	meum
cũ	cum
fletu	fletu
miscebam	miscebam
a	a

facie	facie
ire	ire
et	et
indignationis	indignationis
tue	tue
quia	quia
elevans	elevans
allisisti	allisisti
me	me
.	.
dies	dies
mei	mei
sicut	sicut
umbra	umbra
declinaverũt	declinaverunt
et	et
ego	ego
sicut	sicut
fenum	fenum
arui	arui
.	.
tu	tu
autem	autem
domine	domine
in	in

eternum	eternum
permanes	permanes
et	et
memoriale	memoriale
tuum	tuum
in	in
generationem	generationem
et	et
generationem	generationem
.	.
tu	tu
exurgens	exurgens
domine	domine
misereberis	misereberis
syon	syon
quia	quia
tempus	tempus
miserendi	miserendi
ejus	ejus
quia	quia
venit	venit
tempus	tempus
.	.
quoniam	quoniam
placuerunt	placuerunt

servis	servis
tuis	tuis
lapides	lapides
ejus	ejus
⁊	et
terre	terre
ejus	ejus
miserebuntur	miserebuntur
.	.
et	et
timebunt	timebunt
gentes	gentes
nomen	nomen
tuum	tuum
domine	domine
